Ano;Cananeia;Ubatuba
1976;25,2;27,1
1976;24,3;25,3
1976;24,2;25,8
1976;21,4;23,7
1976;19,8;21,6
1976;17;20
1976;17,2;19,3
1976;17,6;20,2
1976;20,2;20,2
1976;21,6;21,3
1976;22,5;23,7
1976;24;25,5
1977;25,3;26,4
1977;26,4;27,4
1977;24,9;26,3
1977;21,8;23,8
1977;21;22,3
1977;19,3;20,8
1977;20,8;22,6
1977;19,6;21,6
1977;20,2;21,6
1977;21,6;22,5
1977;22,5;23,3
1977;24;24,1
1978;24,8;25,9
1978;25,2;25,8
1978;24,3;25,5
1978;21,6;22,9
1978;19,2;21,5
1978;17,4;19,8
1978;18,9;21,4
1978;17,5;20,8
1978;19,7;21,8
1978;21,6;22,3
1978;22,9;23,7
1978;23,9;24,7
1979;22,9;24
1979;24,5;25,3
1979;23,2;24,2
1979;21,8;23,2
1979;19,3;22,3
1979;16,6;19,6
1979;16,5;19,2
1979;18,8;21,7
1979;18,1;20,5
1979;22;22,5
1979;21,7;22,5
1979;24,1;24,5
1980;24,4;26,1
1980;25;26,6
1980;26,4;27,7
1980;23,6;24,4
1980;21,7;23
1980;18,2;20,5
1980;17,6;20,1
1980;17,8;20,3
1980;17,3;19,7
1980;20,2;21,5
1980;22,2;22,6
1980;24,6;25,6
1981;25;25,9
1981;26,2;27
1981;24,3;24,7
1981;22,3;22,9
1981;21,9;22,3
1981;18,2;19,9
1981;17,1;19
1981;18;20,2
1981;19,5;21,4
1981;19,4;20,7
1981;23,2;23,4
1981;23,6;23,8
1982;23,8;24,3
1982;25;25,9
1982;23,9;23,7
1982;21,6;22,1
1982;19,9;20,1
1982;20,3;20,3
1982;18,8;20,3
1982;18,7;20,8
1982;19,7;20,8
1982;20,6;21,5
1982;22,4;24,3
1982;23,8;23,8
1983;25,9;26,4
1983;25,9;26,6
1983;24,1;23,5
1983;22,6;18,9
1983;20,9;18
1983;16,9;15,3
1983;17,2;14,7
1983;17,9;14,4
1983;17,1;16,2
1983;20,4;19,9
1983;23,5;22,6
1983;24,5;23,3
1984;26,2;25,6
1984;26,6;25,6
1984;24,7;23,3
1984;22,2;19,1
1984;21,8;19,4
1984;19,5;20,1
1984;18,3;19
1984;16,2;19
1984;18,3;18,3
1984;21,4;22
1984;22,3;22,5
1984;23;23,1
1985;24;23,8
1985;25,5;26,2
1985;25,3;25,1
1985;23,8;24,5
1985;20,1;21,6
1985;18;19,8
1985;18;19,8
1985;19,1;20,1
1985;19,2;20,2
1985;21,6;22,2
1985;22,6;22,9
1985;24;23,9
